2025-05-14T15:26:35.208414 - Δvx=12, Δvy=12, Duration=100s
2025-05-14T15:35:08.671265 - Δvx=23, Δvy=32, Duration=23s
2025-05-14T15:35:10.854219 - Δvx=23, Δvy=32, Duration=23s
2025-05-14T15:46:17.378255 - Δvx=12.0, Δvy=12.0, Duration=1000s
2025-05-14T15:46:21.700066 - Δvx=12.0, Δvy=12.0, Duration=1000s
2025-05-14T15:55:02.914465 - Δvx=10.0, Δvy=10.0, Duration=10s
2025-05-14T15:55:29.079493 - Δvx=10.0, Δvy=10.0, Duration=10s
2025-05-20T11:26:28.155202  Δvx=2.0, Δvy=2.0, dur=5s
2025-05-20T11:27:00.797603  Δvx=2.0, Δvy=2.0, dur=2s
2025-05-20T11:27:10.077243  Δvx=2.0, Δvy=2.0, dur=2s
2025-05-20T11:27:18.393723  Δvx=1.0, Δvy=1.0, dur=1s
2025-05-20T11:27:27.948618  Δvx=12.0, Δvy=12.0, dur=12s
2025-05-20T11:27:29.078763  Δvx=12.0, Δvy=12.0, dur=12s
2025-05-20T11:27:32.511396  Δvx=12.0, Δvy=12.0, dur=14s
2025-05-20T11:27:32.778286  Δvx=12.0, Δvy=12.0, dur=14s
2025-05-20T11:27:35.312076  Δvx=12.0, Δvy=12.0, dur=14s
2025-05-20T11:27:35.446016  Δvx=12.0, Δvy=12.0, dur=14s
2025-05-20T11:27:38.596596  Δvx=12.0, Δvy=12.0, dur=14s
2025-05-20T11:27:38.762597  Δvx=12.0, Δvy=12.0, dur=14s
2025-05-20T11:27:41.596308  Δvx=12.0, Δvy=12.0, dur=14s
2025-05-20T11:27:41.746455  Δvx=12.0, Δvy=12.0, dur=14s
2025-05-20T11:27:44.729437  Δvx=12.0, Δvy=12.0, dur=14s
2025-05-20T11:27:44.913010  Δvx=12.0, Δvy=12.0, dur=14s
2025-05-20T11:28:13.449216  Δvx=12.0, Δvy=12.0, dur=14s
2025-05-20T11:28:13.616544  Δvx=12.0, Δvy=12.0, dur=14s
2025-05-20T11:28:15.199495  Δvx=12.0, Δvy=12.0, dur=14s
2025-05-20T11:28:15.381840  Δvx=12.0, Δvy=12.0, dur=14s
2025-05-20T11:28:15.949233  Δvx=12.0, Δvy=12.0, dur=14s
2025-05-20T11:28:16.133345  Δvx=12.0, Δvy=12.0, dur=14s
2025-05-20T11:28:17.866209  Δvx=12.0, Δvy=12.0, dur=14s
2025-05-20T11:28:18.066622  Δvx=12.0, Δvy=12.0, dur=14s
2025-05-20T11:28:18.554015  Δvx=12.0, Δvy=12.0, dur=14s
2025-05-20T11:28:18.717873  Δvx=12.0, Δvy=12.0, dur=14s
2025-05-20T11:30:22.314880  Δvx=2.0, Δvy=2.0, dur=2s
2025-05-20T11:30:53.800993  Δvx=222.0, Δvy=222.0, dur=22s
2025-05-20T11:30:55.332529  Δvx=222.0, Δvy=222.0, dur=22s
2025-05-20T11:30:55.501231  Δvx=222.0, Δvy=222.0, dur=22s
